primary_label,yolo_class_index,soundclass_id,species_name,sound_class,scientific_name,freq_low,freq_high,common_name_zh,common_name_en
1,0,1,黑冠麻鷺,S-01,Gorsachius melanolophus,244,515,黑冠麻鷺,
6,1,6,八色鳥,S-01,Pitta nympha,1337,2233,八色鳥,
7,2,7,白耳畫眉,C-01,Heterophasia auricularis,2269,6831,白耳畫眉,
8,3,8,白耳畫眉,C-02,Heterophasia auricularis,5122,8524,白耳畫眉,
9,4,9,白耳畫眉,S-01,Heterophasia auricularis,1898,4377,白耳畫眉,
10,5,10,燕鴴,C-01,Glareola maldivarum,1217,3652,燕鴴,
11,6,11,黃眉柳鶯,C-01,Phylloscopus inornatus,4261,7204,黃眉柳鶯,
12,7,12,黃眉柳鶯,S-01,Phylloscopus inornatus,3943,9039,黃眉柳鶯,
14,8,14,鷹鵑,S-01,Hierococcyx sparverioides,1478,2594,鷹鵑,
15,9,15,鷹鵑,U-01,Hierococcyx sparverioides,1362,2212,鷹鵑,
18,10,18,北方中杜鵑,C-03,Cuculus optatus,974,2680,北方中杜鵑,
19,11,19,北方中杜鵑,S-01,Cuculus optatus,352,671,北方中杜鵑,
20,12,20,繡眼畫眉,C-01,Alcippe morrisonia,3475,7027,繡眼畫眉,
21,13,21,繡眼畫眉,C-02,Alcippe morrisonia,4158,5780,繡眼畫眉,
22,14,22,繡眼畫眉,S-01,Alcippe morrisonia,2659,6641,繡眼畫眉,
23,15,23,煤山雀,C-04,Periparus ater,3105,7852,煤山雀,
26,16,26,遠東樹鶯,S-01,Horornis canturians,1027,5234,遠東樹鶯,
28,17,28,五色鳥,S-01,Psilopogon nuchalis,738,1273,五色鳥,
29,18,29,五色鳥,U-01,Psilopogon nuchalis,841,1272,五色鳥,
30,19,30,青背山雀,S-03,Parus monticolus,2374,6441,青背山雀,
32,20,32,翠鳥,U-01,Alcedo atthis,4837,6388,翠鳥,
33,21,33,小辮鴴,C-01,Vanellus vanellus,1161,4467,小辮鴴,
35,22,35,野鴝,C-03,Calliope calliope,2362,4233,野鴝,
37,23,37,棕背伯勞,C-02,Lanius schach,1939,4746,棕背伯勞,
39,24,39,南亞夜鷹,S-01,Caprimulgus affinis,2372,5470,南亞夜鷹,
40,25,40,樹鵲,C-01,Dendrocitta formosae,1401,2833,樹鵲,
41,26,41,樹鵲,C-02,Dendrocitta formosae,1443,2852,樹鵲,
42,27,42,臺灣白喉噪眉,C-01,Pterorhinus ruficeps,4386,6041,臺灣白喉噪眉,
44,28,44,梭德氏赤蛙,S-02,Rana sauteri,604,2333,梭德氏赤蛙,
46,29,46,斑腿樹蛙,S-02,Polypedates megacephalus,456,2337,斑腿樹蛙,
47,30,47,斑腿樹蛙,S-03,Polypedates megacephalus,566,2479,斑腿樹蛙,
51,31,51,小卷尾,M-01,Dicrurus aeneus,1418,4624,小卷尾,
54,32,54,小卷尾,S-01,Dicrurus aeneus,1598,3828,小卷尾,
58,33,58,綠畫眉,C-01,Erpornis zantholeuca,2783,7321,綠畫眉,
60,34,60,綠畫眉,S-01,Erpornis zantholeuca,5121,7300,綠畫眉,
63,35,63,噪鵑,S-01,Eudynamys scolopaceus,904,1746,噪鵑,
64,36,64,噪鵑,C-01,Eudynamys scolopaceus,1053,2030,噪鵑,
65,37,65,鵂鶹,C-01,Taenioptynx brodiei,843,1211,鵂鶹,
66,38,66,鵂鶹,S-01,Taenioptynx brodiei,831,1225,鵂鶹,
67,39,67,小鶯,S-01,Horornis fortipes,1639,5251,小鶯,
71,40,71,智人,疑似黑枕藍鶲,Homo sapiens,2492,3451,智人,
72,41,72,黑枕藍鶲,S-01,Hypothymis azurea,2065,6204,黑枕藍鶲,
73,42,73,黑枕藍鶲,S-02,Hypothymis azurea,4428,7105,黑枕藍鶲,
76,43,76,紅嘴黑鵯,C-01,Hypsipetes leucocephalus,1805,5754,紅嘴黑鵯,
77,44,77,紅嘴黑鵯,S-01,Hypsipetes leucocephalus,2654,5656,紅嘴黑鵯,
78,45,78,紅嘴黑鵯,U-01,Hypsipetes leucocephalus,2819,4794,紅嘴黑鵯,
84,46,84,林鵰,S-01,Ictinaetus malaiensis,1818,2757,林鵰,
85,47,85,紅尾伯勞,C-01,Lanius cristatus,1790,10518,紅尾伯勞,
86,48,86,紅尾伯勞,C-02,Lanius cristatus,1440,4985,紅尾伯勞,
88,49,88,褐鷹鴞,S-01,Ninox japonica,407,809,褐鷹鴞,
93,50,93,朱鸝,S-01,Oriolus traillii,447,909,朱鸝,
94,51,94,蘭嶼角鴞,S-02,Otus elegans,675,1260,蘭嶼角鴞,
95,52,95,蘭嶼角鴞,S-01,Otus elegans,569,1029,蘭嶼角鴞,
96,53,96,斑紋鷦鶯,C-02,Prinia striata,5600,7549,斑紋鷦鶯,
97,54,97,領角鴞,C-01,Otus lettia,4314,10489,領角鴞,
98,55,98,領角鴞,S-01,Otus lettia,414,1044,領角鴞,
100,56,100,黃嘴角鴞,C-01,Otus spilocephalus,1225,1818,黃嘴角鴞,
101,57,101,黃嘴角鴞,S-01,Otus spilocephalus,1358,1747,黃嘴角鴞,
102,58,102,黃嘴角鴞,U-01,Otus spilocephalus,1246,3252,黃嘴角鴞,
103,59,103,黃尾鴝,C-01,Phoenicurus auroreus,4710,5714,黃尾鴝,
105,60,105,大冠鷲,S-01,Spilornis cheela,1312,2095,大冠鷲,
106,61,106,短尾鶯,S-01,Urosphena squameiceps,7062,10051,短尾鶯,
110,62,110,珠頸斑鳩,S-01,Streptopelia chinensis,485,995,珠頸斑鳩,
111,63,111,大赤啄木,C-01,Dendrocopos leucotos,2359,4502,大赤啄木,
112,64,112,大赤啄木,O-01,Dendrocopos leucotos,316,2077,大赤啄木,
113,65,113,褐林鴞,C-01,Strix leptogrammica,568,1778,褐林鴞,
115,66,115,褐林鴞,S-01,Strix leptogrammica,234,576,褐林鴞,
116,67,116,東方灰林鴞,S-01,Strix nivicolum,320,769,東方灰林鴞,
117,68,117,小鸊鷉,U-01,Tachybaptus ruficollis,1594,5213,小鸊鷉,
118,69,118,黃胸藪眉,C-01,Liocichla steerii,2321,5157,黃胸藪眉,
120,70,120,黃胸藪眉,C-04,Liocichla steerii,1680,2403,黃胸藪眉,
121,71,121,黃胸藪眉,D-01,Liocichla steerii,3683,5409,黃胸藪眉,
122,72,122,黃胸藪眉,S-01,Liocichla steerii,2658,5402,黃胸藪眉,
123,73,123,臺灣山鷓鴣,S-03,Arborophila crudigularis,1527,2384,臺灣山鷓鴣,
124,74,124,犬,C-01,Canis lupus familiaris,392,1129,犬,
125,75,125,石虎,C-01,Prionailurus bengalensis,0,10000,石虎,
126,76,126,小白鷺,C-01,Egretta garzetta,485,2963,小白鷺,
127,77,127,夜鷺,C-01,Nycticorax nycticorax,997,2082,夜鷺,
128,78,128,彩鷸,S-01,Rostratula benghalensis,478,805,彩鷸,
129,79,129,青足鷸,C-01,Tringa nebularia,2142,3273,青足鷸,
132,80,132,栗背林鴝,C-01,Tarsiger johnstoniae,2784,4301,栗背林鴝,
134,81,134,栗背林鴝,C-02,Tarsiger johnstoniae,1228,5296,栗背林鴝,
135,82,135,栗背林鴝,S-01,Tarsiger johnstoniae,2341,5619,栗背林鴝,
143,83,143,小彎嘴,S-02,Pomatorhinus musicus,844,1476,小彎嘴,
144,84,144,小彎嘴,S-03,Pomatorhinus musicus,1537,2860,小彎嘴,
145,85,145,小彎嘴,S-04,Pomatorhinus musicus,1362,3193,小彎嘴,
147,86,147,小彎嘴,U-01,Pomatorhinus musicus,798,1209,小彎嘴,
148,87,148,臺灣竹雞,C-01,Bambusicola sonorivox,1020,2675,臺灣竹雞,
152,88,152,臺灣竹雞,S-01,Bambusicola sonorivox,1291,2938,臺灣竹雞,
153,89,153,臺灣竹雞,S-02,Bambusicola sonorivox,2537,3548,臺灣竹雞,
154,90,154,緋秧雞,C-01,Zapornia fusca,1019,3187,緋秧雞,
159,91,159,臺灣叢樹鶯,S-01,Locustella alishanensis,2370,3678,臺灣叢樹鶯,
162,92,162,大彎嘴,C-01,Erythrogenys erythrocnemis,887,3304,大彎嘴,
164,93,164,熊鷹,S-01,Nisaetus nipalensis,1670,3471,熊鷹,
167,94,167,大彎嘴,S-03,Erythrogenys erythrocnemis,1027,1923,大彎嘴,
176,95,176,臺灣噪眉,C-01,Trochalopteron morrisonianum,2118,3405,臺灣噪眉,
177,96,177,臺灣噪眉,C-02,Trochalopteron morrisonianum,925,7606,臺灣噪眉,
178,97,178,冠羽畫眉,C-02,Yuhina brunneiceps,4457,7007,冠羽畫眉,
182,98,182,臺灣噪眉,S-01,Trochalopteron morrisonianum,1969,3341,臺灣噪眉,
183,99,183,臺灣噪眉,S-02,Trochalopteron morrisonianum,0,10000,臺灣噪眉,
186,100,186,黃山雀,S-01,Machlolophus holsti,2217,6739,黃山雀,
187,101,187,斯氏繡眼,C-03,Zosterops simplex,2763,7190,斯氏繡眼,
188,102,188,智人,Gunshot,Homo sapiens,88,4007,智人,
189,103,189,黃嘴角鴞,U-02,Otus spilocephalus,2621,3316,黃嘴角鴞,
198,104,198,棕面鶯,S-01,Abroscopus albogularis,4657,4985,棕面鶯,
199,105,199,小雨燕,C-01,Apus nipalensis,3547,6015,小雨燕,
202,106,202,野鴝,C-01,Calliope calliope,3424,4557,野鴝,
204,107,204,山紅頭,C-01,Cyanoderma ruficeps,2563,4614,山紅頭,
