primary_label,inat_taxon_id,scientific_name,common_name_en,class_name,common_name_zh,wiki_url_zh,wiki_url_en
1161364,1161364,Guyalna cuta,Guyalna cuta,Insecta,,,
116570,116570,Caiman yacare,Southern Spectacled Caiman,Reptilia,Â∑¥Ê??≠Âá±?ÄÈ±?https://zh.wikipedia.org/wiki/%E5%B7%B4%E6%8B%89%E5%9C%AD%E5%87%B1%E9%96%80%E9%B1%B7,,
1176823,1176823,Leptodactylus luctator,Wrestler Frog,Amphibia,,,
1491113,1491113,Adenomera guarani,Guaran√≠ leaf-litter frog,Amphibia,,,
1595929,1595929,Lysapsus limellum,Uruguay Harlequin Frog,Amphibia,,,
209233,209233,Equus caballus,Feral Horse,Mammalia,È¶?https://zh.wikipedia.org/wiki/%E9%A9%AC,,
22930,22930,Leptodactylus syphax,Basin White-lipped Frog,Amphibia,,,
22956,22956,Leptodactylus mystacinus,Mustached Frog,Amphibia,,,
22961,22961,Leptodactylus podicipinus,Pointedbelly Frog,Amphibia,,,
22967,22967,Leptodactylus elenae,Marbled White-lipped Frog,Amphibia,,,
22973,22973,Leptodactylus fuscus,Whistling Grass Frog,Amphibia,,,
22983,22983,Leptodactylus labyrinthicus,Pepper Frog,Amphibia,,,
22985,22985,Leptodactylus petersii,Peter's Jungle Frog,Amphibia,,,
23150,23150,Physalaemus centralis,Central Dwarf Frog,Amphibia,,,
23154,23154,Physalaemus albifrons,Bahia Dwarf Frog,Amphibia,,,
23158,23158,Physalaemus albonotatus,Pale-legged Weeping Frog,Amphibia,,,
23176,23176,Pseudopaludicola mystacalis,Cope's Swamp Froglet,Amphibia,,,
23724,23724,Phyllomedusa sauvagii,Waxy Monkey Tree Frog,Amphibia,,,
24279,24279,Scinax nasicus,Lesser Snouted Tree Frog,Amphibia,,,
24285,24285,Scinax fuscovarius,Snouted Tree Frog,Amphibia,,,
24287,24287,Scinax fuscomarginatus,Brown-bordered Snouted Tree Frog,Amphibia,,,
24321,24321,Scinax acuminatus,Mato Grosso Snouted Tree Frog,Amphibia,,,
244024,244024,Quesada gigas,Giant Cicada,Insecta,,,
25073,25073,Chiasmocleis mehelyi,Chiasmocleis mehelyi,Amphibia,,,
